Date,mintemp,maxtemp,pressure,humidity,mean wind speed,weather
01.01.2023,15.2,28.5,1013.2,65,12.3,Sunny
02.01.2023,16.8,30.1,1012.5,62,10.5,Sunny
03.01.2023,14.5,26.8,1015.3,70,15.2,Cloudy
04.01.2023,13.2,25.4,1016.8,75,18.6,Rainy
05.01.2023,12.8,24.9,1014.5,78,20.1,Rainy
06.01.2023,14.1,27.3,1013.8,68,14.3,Cloudy
07.01.2023,15.5,29.2,1012.9,64,11.8,Sunny
08.01.2023,16.2,30.5,1011.7,60,9.7,Sunny
09.01.2023,17.1,31.8,1010.5,58,8.5,Sunny
10.01.2023,15.8,29.6,1013.1,63,13.2,Cloudy
11.01.2023,14.3,27.2,1015.2,72,16.4,Cloudy
12.01.2023,13.5,25.8,1016.5,76,19.2,Rainy
13.01.2023,12.9,24.5,1017.2,80,21.3,Rainy
14.01.2023,13.8,26.1,1015.8,74,17.5,Cloudy
15.01.2023,15.1,28.7,1013.5,66,13.8,Sunny
16.01.2023,16.5,30.3,1012.1,61,10.9,Sunny
17.01.2023,17.3,31.5,1011.3,59,9.2,Sunny
18.01.2023,16.9,30.8,1012.8,62,11.5,Sunny
19.01.2023,15.2,28.9,1014.6,68,14.7,Cloudy
20.01.2023,14.1,26.5,1016.1,73,17.8,Rainy
21.01.2023,13.4,25.2,1017.5,78,20.5,Rainy
22.01.2023,14.7,27.8,1014.9,70,15.6,Cloudy
23.01.2023,15.9,29.4,1013.2,65,12.4,Sunny
24.01.2023,16.8,30.9,1011.8,60,10.1,Sunny
25.01.2023,17.5,32.1,1010.4,57,8.8,Sunny
26.01.2023,16.3,30.2,1012.6,63,11.9,Sunny
27.01.2023,15.1,28.4,1014.3,69,14.5,Cloudy
28.01.2023,14.2,26.7,1015.9,74,17.2,Cloudy
29.01.2023,13.6,25.5,1017.1,79,19.8,Rainy
30.01.2023,14.5,27.1,1015.4,72,16.1,Cloudy
31.01.2023,15.7,29.1,1013.7,66,13.3,Sunny
01.02.2023,16.4,30.4,1012.3,62,10.6,Sunny
02.02.2023,17.2,31.6,1011.1,58,9.1,Sunny
03.02.2023,16.7,30.7,1012.9,63,12.2,Sunny
04.02.2023,15.3,28.6,1014.5,68,14.9,Cloudy
05.02.2023,14.4,26.9,1016.2,74,17.6,Cloudy
06.02.2023,13.7,25.6,1017.3,78,20.1,Rainy
07.02.2023,14.6,27.5,1015.1,71,15.8,Cloudy
08.02.2023,15.8,29.3,1013.4,66,12.7,Sunny
09.02.2023,16.6,30.6,1012.2,61,10.4,Sunny
10.02.2023,17.4,31.9,1010.8,58,8.7,Sunny
11.02.2023,16.9,30.9,1012.5,62,11.3,Sunny
12.02.2023,15.4,28.8,1014.4,68,14.6,Cloudy
13.02.2023,14.5,27.1,1015.8,73,17.4,Cloudy
14.02.2023,13.8,25.8,1017.1,77,19.5,Rainy
15.02.2023,14.8,27.6,1015.3,71,16.2,Cloudy
16.02.2023,16.1,29.5,1013.6,66,13.1,Sunny
17.02.2023,16.9,30.8,1012.1,61,10.7,Sunny
18.02.2023,17.6,32.2,1010.6,57,8.9,Sunny
19.02.2023,17.1,31.3,1011.5,59,9.5,Sunny
20.02.2023,15.6,29.1,1013.9,65,13.5,Cloudy
21.02.2023,14.6,27.3,1015.6,72,16.8,Cloudy
22.02.2023,13.9,26.1,1016.9,76,19.1,Rainy
23.02.2023,14.9,27.9,1015.2,70,15.4,Cloudy
24.02.2023,16.2,29.7,1013.5,65,12.5,Sunny
25.02.2023,17.1,31.1,1011.9,60,9.8,Sunny
26.02.2023,17.8,32.4,1010.3,56,8.4,Sunny
27.02.2023,17.3,31.5,1011.7,59,9.6,Sunny
28.02.2023,15.9,29.3,1013.8,65,13.4,Cloudy
